Firmennummer	Kundennummer	Artikelnummer	Auftragsnummer	Datum	Menge	Verkaufsumsatz	Einkaufsumsatz
927	19641	29354	51576	20230102	1.0	129.59	72.67
373	33067	29354	5091	20230102	1.0	166.8	69.87
196	24985	29354	87202	20230102	1.0	151.15	72.67
115	68780	29354	57081	20230102	1.0	202.8	72.67
822	54298	29354	40754	20230102	1.0	150.49	72.67
892	74932	29354	61423	20230102	2.0	372.0	145.35
373	93478	29354	97898	20230102	1.0	159.44	72.67
115	85583	29354	12435	20230103	1.0	151.15	72.67
903	57416	29354	99019	20230103	1.0	151.15	72.67
338	42585	29354	76646	20230103	1.0	151.15	72.67
115	68780	29354	81142	20230103	1.0	202.8	72.67
927	93204	29354	30321	20230104	1.0	143.99	72.67
927	93204	29354	99548	20230104	1.0	143.99	72.67
927	48657	29354	27414	20230104	1.0	154.8	72.67
927	19641	29354	91499	20230105	1.0	137.53	72.67
951	84219	29354	3972	20230105	1.0	188.06	72.67
196	55132	29354	8035	20230105	2.0	302.3	145.35
414	44686	29354	70955	20230105	1.0	174.0	72.67
373	79131	29354	34904	20230105	1.0	172.18	69.87
115	98739	29354	51716	20230105	1.0	202.8	72.67
115	98739	29354	27525	20230106	1.0	0.0	0.0
243	1452	29354	30492	20230106	1.0	151.15	72.67
243	88110	29354	62464	20230106	1.0	151.15	72.67
373	27427	29354	51040	20230106	1.0	179.08	72.67
927	48657	29354	75253	20230106	1.0	0.0	0.0
196	15897	29354	9027	20230109	1.0	224.4	72.67
373	27459	29354	49662	20230109	1.0	179.08	72.67
848	34606	29354	49825	20230109	1.0	141.53	72.67
414	31687	29354	8858	20230109	1.0	178.8	72.67
511	34573	29354	39793	20230109	1.0	174.0	72.67
511	38062	29354	22066	20230109	1.0	163.72	72.67
373	19332	29354	49679	20230109	1.0	165.6	72.67
922	54200	29354	14601	20230109	1.0	161.98	72.67
320	38718	29354	90337	20230109	2.0	324.0	145.35
927	19641	29354	62645	20230109	2.0	275.06	145.35
115	68780	29354	99498	20230109	1.0	202.8	72.67
373	23433	29354	67818	20230109	1.0	165.6	72.67
196	50056	29354	60756	20230110	5.0	755.76	363.38
142	62518	29354	33978	20230110	5.0	755.76	393.02
414	31687	29354	10074	20230110	1.0	188.06	72.67
903	34119	29354	2972	20230110	1.0	0.0	0.0
373	59804	29354	26457	20230110	1.0	179.08	72.67
196	38464	29354	4248	20230110	1.0	151.15	72.67
460	48322	29354	55203	20230110	1.0	138.0	64.7
373	7006	29354	45277	20230110	1.0	165.6	72.67
927	87798	29354	68948	20230110	1.0	149.76	72.67
320	17684	29354	90596	20230110	1.0	150.0	72.67
650	9414	29354	23071	20230110	1.0	178.8	72.67
650	7374	29354	45993	20230110	1.0	166.8	72.67
508	74298	29354	23036	20230110	1.0	154.8	72.67
